@id,socrata:rowID{Literal},rdf:type{URIRef},rdfs:member{URIRef},ds:consent_cases{Literal},ds:consent_deaths{Literal},ds:created_at{Literal},ds:new_case{Literal},ds:new_death{Literal},ds:state{Literal},ds:submission_date{Literal},ds:tot_cases{Literal},ds:tot_death{Literal},ds:conf_cases{Literal},ds:conf_death{Literal},ds:pnew_case{Literal},ds:pnew_death{Literal},ds:prob_cases{Literal},ds:prob_death{Literal}
ds:row-dch3-sd4f_32my,row-dch3-sd4f_32my,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-04-10T00:00:00,115.0,3.0,DE,2020-04-08T00:00:00,1221,19,1206.0,,7,,15,
ds:row-ddua.zwh7-tah8,row-ddua.zwh7-tah8,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-12-17T00:00:00,50611.0,382.0,CA,2020-12-17T00:00:00,1938111,25071,1887085.0,25071.0,2142,0,51026,0
ds:row-derk_55t8_v4jz,row-derk_55t8_v4jz,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,N/A,N/A,2020-05-02T00:00:00,274.0,13.0,WA,2020-04-30T00:00:00,14408,814,,,0,0,,
ds:row-dkhy.8eii-6qfn,row-dkhy.8eii-6qfn,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Not agree,2020-04-22T16:22:39,35.0,1.0,ND,2020-04-22T00:00:00,679,14,679.0,,0,0,0,
ds:row-ds93-mgvx_9mvw,row-ds93-mgvx_9mvw,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Not agree,2020-03-26T16:22:39,21.0,0.0,NH,2020-03-26T00:00:00,158,1,,,,,,
ds:row-dspy.izck-nh9e,row-dspy.izck-nh9e,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Not agree,2020-03-26T00:00:00,18.0,2.0,VT,2020-03-24T00:00:00,86,7,,,0,0,,
ds:row-dwzp_czrr-bmq8,row-dwzp_czrr-bmq8,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Not agree,2021-08-16T15:23:49,53.0,0.0,ND,2021-08-15T00:00:00,113330,1545,103299.0,,-11,0,10031,
ds:row-dx9p_if5k.mk59,row-dx9p_if5k.mk59,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-12-26T14:34:18,5742.0,194.0,IL,2020-12-25T00:00:00,930849,17154,930849.0,15799.0,0,38,0,1355
ds:row-dxr2.jk6n-h5sc,row-dxr2.jk6n-h5sc,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Not agree,2021-01-28T14:49:07,4.0,0.0,GU,2021-01-27T00:00:00,7572,129,,,0,0,,
ds:row-e6ex-vzwq-7gwx,row-e6ex-vzwq-7gwx,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Not agree,2021-02-04T14:53:58,4.0,0.0,GU,2021-02-03T00:00:00,7622,129,,,0,0,,
