@id,socrata:rowID{Literal},rdf:type{URIRef},rdfs:member{URIRef},ds:conf_cases{Literal},ds:conf_death{Literal},ds:consent_cases{Literal},ds:consent_deaths{Literal},ds:created_at{Literal},ds:new_case{Literal},ds:new_death{Literal},ds:pnew_case{Literal},ds:pnew_death{Literal},ds:prob_cases{Literal},ds:prob_death{Literal},ds:state{Literal},ds:submission_date{Literal},ds:tot_cases{Literal},ds:tot_death{Literal}
https://data.cdc.gov/resource/_9mfq-cb36/row-2z47~rjir.p8kv,row-2z47~rjir.p8kv,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,,Not agree,Not agree,2021-02-13T00:00:00,1007.0,19.0,270,0,,,MO,2021-02-11T00:00:00,540239,8330
https://data.cdc.gov/resource/_9mfq-cb36/row-3dz8.8x24~dz69,row-3dz8.8x24~dz69,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,4191.0,N/A,Agree,2020-11-08T00:00:00,1410.0,13.0,0,2,,162,MD,2020-11-06T00:00:00,152915,4353
https://data.cdc.gov/resource/_9mfq-cb36/row-3kwn_a46j~2at8,row-3kwn_a46j~2at8,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,967.0,22.0,Agree,Agree,2020-06-30T15:27:33,48.0,0.0,0,0,0,0,MT,2020-06-29T00:00:00,967,22
https://data.cdc.gov/resource/_9mfq-cb36/row-3xs4~tz9v~224f,row-3xs4~tz9v~224f,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,535218.0,5753.0,Agree,Agree,2021-01-27T14:53:24,1564.0,65.0,263,11,48823,511,WI,2021-01-26T00:00:00,584041,6264
https://data.cdc.gov/resource/_9mfq-cb36/row-44wp~vn72_e9jc,row-44wp~vn72_e9jc,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,,Not agree,Not agree,2021-02-09T00:00:00,130.0,1.0,7,0,,,VT,2021-02-07T00:00:00,11935,185
https://data.cdc.gov/resource/_9mfq-cb36/row-4azt.452k~bmda,row-4azt.452k~bmda,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,4068599.0,65123.0,Agree,Agree,2021-08-14T00:00:00,15417.0,77.0,902,0,175276,0,CA,2021-08-14T00:00:00,4243875,65123
https://data.cdc.gov/resource/_9mfq-cb36/row-4bhv~i47m-zbxk,row-4bhv~i47m-zbxk,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,73397.0,,Agree,Not agree,2020-11-23T15:04:35,714.0,6.0,0,0,0,,ND,2020-11-22T00:00:00,73397,846
https://data.cdc.gov/resource/_9mfq-cb36/row-4dgw~6qs3~9d5i,row-4dgw~6qs3~9d5i,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,1814.0,Not agree,Agree,2020-05-18T00:00:00,477.0,43.0,0,2,,165,IN,2020-05-18T00:00:00,28255,1979
https://data.cdc.gov/resource/_9mfq-cb36/row-4evx~rc92-hqh3,row-4evx~rc92-hqh3,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,,Not agree,Not agree,2020-03-07T00:00:00,0.0,0.0,0,0,,,NE,2020-03-05T00:00:00,0,0
https://data.cdc.gov/resource/_9mfq-cb36/row-4ff5-mbci~e958,row-4ff5-mbci~e958,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,6203.0,181.0,Agree,Agree,2020-04-16T00:00:00,377.0,23.0,1,0,6,0,NC,2020-04-16T00:00:00,6209,181
https://data.cdc.gov/resource/_9mfq-cb36/row-4hfx~ertg_8p2z,row-4hfx~ertg_8p2z,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,48827.0,892.0,Agree,Agree,2020-07-27T14:16:42,965.0,1.0,8,0,3853,7,WI,2020-07-26T00:00:00,52680,899
https://data.cdc.gov/resource/_9mfq-cb36/row-4hyv-5dfu~rbbp,row-4hyv-5dfu~rbbp,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,153449.0,1820.0,Agree,Agree,2021-05-27T13:41:41,192.0,1.0,42,0,38289,268,ID,2021-05-26T00:00:00,191738,2088
https://data.cdc.gov/resource/_9mfq-cb36/row-4p9x.dyvq~h4cz,row-4p9x.dyvq~h4cz,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,19129.0,321.0,Agree,Agree,2020-12-28T14:42:49,439.0,1.0,80,0,3191,5,ME,2020-12-27T00:00:00,22320,326
https://data.cdc.gov/resource/_9mfq-cb36/row-4twt~t754~hje4,row-4twt~t754~hje4,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,3981.0,282.0,Agree,Agree,2020-04-13T00:00:00,146.0,11.0,1,0,25,1,MS,2020-04-11T00:00:00,4006,283
https://data.cdc.gov/resource/_9mfq-cb36/row-52gf-jg2w~i466,row-52gf-jg2w~i466,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,923701.0,18196.0,Agree,Agree,2020-10-25T00:00:00,4710.0,53.0,166,0,8690,0,CA,2020-10-25T00:00:00,932391,18196
https://data.cdc.gov/resource/_9mfq-cb36/row-57ui~7gp5_qpih,row-57ui~7gp5_qpih,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,1843.0,32.0,Agree,Agree,2020-07-14T15:13:07,2.0,1.0,0,0,0,0,MT,2020-07-13T00:00:00,1843,32
https://data.cdc.gov/resource/_9mfq-cb36/row-584u_epkz~s2ix,row-584u_epkz~s2ix,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,188.0,14.0,Agree,Agree,2020-03-15T00:00:00,37.0,2.0,1,0,6,1,MS,2020-03-13T00:00:00,194,15
https://data.cdc.gov/resource/_9mfq-cb36/row-5w7e~9yy7-vsyb,row-5w7e~9yy7-vsyb,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,,Not agree,Not agree,2020-09-15T00:00:00,663.0,19.0,18,0,,,MO,2020-09-13T00:00:00,108944,2132
https://data.cdc.gov/resource/_9mfq-cb36/row-6iy5.jprc~6cch,row-6iy5.jprc~6cch,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,13648.0,Not agree,Agree,2021-08-02T00:00:00,934.0,13.0,0,0,,442,IN,2021-08-02T00:00:00,774097,14090
https://data.cdc.gov/resource/_9mfq-cb36/row-6upv_v2ha~jbwz,row-6upv_v2ha~jbwz,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,295440.0,8696.0,Agree,Agree,2020-10-02T13:40:08,2166.0,24.0,0,0,2489,244,IL,2020-10-01T00:00:00,297929,8940
https://data.cdc.gov/resource/_9mfq-cb36/row-6uu2-jax6~jg37,row-6uu2-jax6~jg37,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,,Not agree,Not agree,2020-03-26T16:22:39,0.0,0.0,,,,,MO,2020-02-24T00:00:00,0,0
https://data.cdc.gov/resource/_9mfq-cb36/row-6wjc-k3c5~2haf,row-6wjc-k3c5~2haf,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,,Not agree,Not agree,2020-05-25T15:38:40,67.0,7.0,0,0,,,NH,2020-04-25T00:00:00,1787,60
